244786	"Whiplash"	en	2014-10-10	10402|18	false
320007	"Victoria"	de	2015-06-11	80|18|53	false
157336	"Interstellar"	en	2014-11-05	18|878	false
278	"The Shawshank Redemption"	en	1994-09-14	18|80	false
140420	"Paperman"	en	2012-11-02	16|10749|10751	false
13042	"Presto"	en	2008-06-26	16|10751	false
238	"The Godfather"	en	1972-03-15	18|80	false
293299	"Feast"	en	2014-11-07	10749|35|16|18|10751	false
140607	"Star Wars: The Force Awakens"	en	2015-12-18	28|12|878|14	false
77338	"Intouchables"	fr	2011-11-02	18|35	false
118340	"Guardians of the Galaxy"	en	2014-08-01	878|14|12	false
129	"千と千尋の神隠し"	ja	2001-07-20	14|12|16|10751	false
150540	"Inside Out"	en	2015-06-19	35|16|10751	false
637	"La vita è bella"	it	1997-12-20	35|18	false
110416	"Song of the Sea"	en	2014-09-06	16|10751|14	false
389	"12 Angry Men"	en	1957-04-10	18	false
12477	"Hotaru no haka"	ja	1988-04-16	10751|16|10752|18	false
205596	"The Imitation Game"	en	2014-11-14	36|18|53|10752	false
128	"もののけ姫"	ja	1997-07-12	12|14|16	false
240	"The Godfather: Part II"	en	1974-12-20	18|80	false
210577	"Gone Girl"	en	2014-10-03	9648|53|18	false
110420	"おおかみこどもの雨と雪"	ja	2012-08-29	16|14|10751|18	false
284054	"Black Panther"	en	2018-02-16	878|28|12	false
331214	"Band of Brothers"	en	2001-09-09	28|18|10752	false
346	"七人の侍"	ja	1954-04-26	28|18	false
24480	"Partly Cloudy"	en	2009-05-28	16|12|35|10751|14	false
251516	"Kung Fury"	en	2015-05-28	878|35|28|14	false
155	"The Dark Knight"	en	2008-07-18	18|28|80|53	false
222935	"The Fault in Our Stars"	en	2014-05-16	10749|18	false
599	"Sunset Boulevard"	en	1950-08-10	18|10749	false
4935	"ハウルの動く城"	ja	2004-11-19	14|16|12	false
37257	"Witness for the Prosecution"	en	1957-12-17	18|9648|80	false
106646	"The Wolf of Wall Street"	en	2013-12-25	80|18|35	false
13	"Forrest Gump"	en	1994-06-22	35|18|10749	false
348892	"Bajrangi Bhaijaan"	hi	2015-07-17	18|35	false
3082	"Modern Times"	en	1936-02-05	18|35	false
550	"Fight Club"	en	1999-10-14	18	false
901	"City Lights"	en	1931-01-30	35|18|10749	false
277216	"Straight Outta Compton"	en	2015-08-14	18|10402	false
424	"Schindler's List"	en	1993-11-29	18|36|10752	false
120467	"The Grand Budapest Hotel"	en	2014-03-07	35|18	false
680	"Pulp Fiction"	en	1994-10-14	53|80	false
200481	"The Blue Umbrella"	en	2013-02-12	16|10749	false
10098	"The Kid"	en	1921-01-21	35|18	false
8392	"となりのトトロ"	ja	1988-04-16	14|16|10751	false
269258	"Honig im Kopf"	de	2014-12-25	35|18	false
1891	"Star Wars: Episode V - The Empire Strikes Back"	en	1980-05-17	12|28|878	false
25376	"El Secreto de sus Ojos"	es	2009-08-13	80|18|9648|10749	false
769	"Goodfellas"	en	1990-09-18	18|80	false
152601	"Her"	en	2013-12-18	10749|878|18	false
13413	"BURN•E"	en	2008-11-17	16|10751	false
83564	"La luna"	en	2011-06-22	16|35|10751|14	false
497	"The Green Mile"	en	1999-12-10	14|18|80	false
73	"American History X"	en	1998-10-30	18	false
177572	"Big Hero 6"	en	2014-11-07	12|10751|16|28|35	false
237791	"Hoje eu quero voltar sozinho"	pt	2014-03-28	18|10749	false
82702	"How to Train Your Dragon 2"	en	2014-06-13	14|28|12|16|35|10751	false
76203	"12 Years a Slave"	en	2013-10-30	18|36	false
13929	"Geri's Game"	en	1997-11-24	16|10751	false
654	"On the Waterfront"	en	1954-06-22	80|18	false
101	"Léon"	fr	1994-09-14	53|80|18	false
313106	"Doctor Who: The Day of the Doctor"	en	2013-11-23	878|12	false
266856	"The Theory of Everything"	en	2014-11-26	18|10749	false
510	"One Flew Over the Cuckoo's Nest"	en	1975-11-18	18	false
629	"The Usual Suspects"	en	1995-08-16	18|80|53	false
32085	"Vincent"	en	1982-01-01	16|18|14	false
113833	"The Normal Heart"	en	2014-05-25	18	false
46738	"Incendies"	fr	2010-09-17	18|10752|9648	false
284	"The Apartment"	en	1960-06-15	35|18|10749	false
189197	"The Pacific"	en	2010-05-16	10752|18|28|12|36	false
548	"羅生門"	ja	1950-12-26	80|18|9648	false
81	"風の谷のナウシカ"	ja	1984-03-11	12|14|16|28|878	false
3114	"The Searchers"	en	1956-03-13	37	false
152532	"Dallas Buyers Club"	en	2013-11-22	18|36	false
142061	"Batman: The Dark Knight Returns, Part 2"	en	2013-01-29	16|28	false
284427	"Who Am I - Kein System ist sicher"	de	2014-09-25	53	false
423	"The Pianist"	en	2002-09-24	18|10752	false
975	"Paths of Glory"	en	1957-09-18	10752|18	false
807	"Se7en"	en	1995-09-22	80|9648|53	false
110160	"Laurence Anyways"	en	2012-05-18	18|10749	false
146233	"Prisoners"	en	2013-09-21	18|53|80	false
10376	"La leggenda del pianista sull'oceano"	it	1998-10-28	14	false
122	"The Lord of the Rings: The Return of the King"	en	2003-12-01	12|14|28	false
11878	"Yôjinbô"	ja	1961-04-25	28|18|53	false
77	"Memento"	en	2000-10-11	9648|53	false
149871	"Kaguya Hime no Monogatari"	ja	2013-11-23	14|16|18	false
13345	"西遊記第壹佰零壹回之月光寶盒"	cn	1994-01-21	14|12	false
694	"The Shining"	en	1980-05-22	27|53	false
598	"Cidade de Deus"	pt	2002-08-30	18|80	false
27205	"Inception"	en	2010-07-16	28|53|878|9648|12	false
914	"The Great Dictator"	en	1940-10-15	35	false
265195	"Relatos salvajes"	es	2014-08-21	35|18|53	false
22843	"Evangerion shin gekijôban: Ha"	en	2009-06-26	16|878|28|18	false
265177	"Mommy"	en	2014-05-22	18	false
832	"M"	en	1931-05-11	18|28|53|80	false
14784	"The Fall"	en	2006-09-09	12|14|18	false
335	"C'era una volta il West"	it	1968-12-21	28|37	false
297222	"PK"	hi	2014-12-19	35|18|878	false
1955	"The Elephant Man"	en	1980-10-03	18|36	false
169813	"Short Term 12"	en	2013-08-23	18	false
500	"Reservoir Dogs"	en	1992-06-25	80|53	false
96721	"Rush"	en	2013-09-27	18|28	false
567	"Rear Window"	en	1954-08-01	9648|53	false
13930	"For the Birds"	en	2000-11-02	16|10751|35	false
13363	"The Man from Earth"	en	2007-06-10	14|18	false
15097	"La cité de la peur"	en	1994-03-09	35	false
670	"올드보이"	en	2003-12-21	18|53|9648|28	false
13060	"Lifted"	en	2006-12-28	16|10751	false
7345	"There Will Be Blood"	en	2007-12-28	18	false
11	"Star Wars"	en	1977-05-25	12|28|878	false
103663	"Jagten"	da	2012-10-01	18	false
229407	"Puppy"	en	2013-12-10	16|10751	false
582	"Das Leben der Anderen"	de	2006-03-15	18|53	false
539	"Psycho"	en	1960-06-16	18|27|53	false
137113	"Edge of Tomorrow"	en	2014-06-06	28|878	false
20453	"3 Idiots"	hi	2009-12-25	18|35|10749	false
902	"La cité des enfants perdus"	fr	1995-05-16	14|878|12	false
207	"Dead Poets Society"	en	1989-06-09	18	false
26022	"My Name Is Khan"	en	2010-02-12	18|10749	false
406	"La Haine"	fr	1995-05-31	18	false
14069	"Toki o kakeru shôjo"	ja	2006-07-15	14|16|18|878	false
3090	"The Treasure of the Sierra Madre"	en	1948-01-24	28|12|18|37	false
9277	"The Sting"	en	1973-12-25	35|80|18	false
429	"Il buono, il brutto, il cattivo"	it	1966-12-23	37	false
595	"To Kill a Mockingbird"	en	1962-12-25	80|18|9648	false
109424	"Captain Phillips"	en	2013-10-11	28|18|53	false
100402	"Captain America: The Winter Soldier"	en	2014-04-04	28|12|878	false
11104	"重庆森林"	cn	1994-07-14	18|35|10749	false
14301	"Dr. Horrible's Sing-Along Blog"	en	2008-07-15	12|28|35|878|10402	false
11216	"Nuovo Cinema Paradiso"	it	1988-11-17	18|10749	false
1892	"Star Wars: Episode VI - Return of the Jedi"	en	1983-05-25	12|28|878	false
7347	"Tropa de Elite"	pt	2007-08-17	18|28|80	false
19	"Metropolis"	de	1927-01-10	18|878	false
775	"Le voyage dans la lune"	fr	1902-09-01	878|12|14	false
8885	"Vals Im Bashir"	en	2008-06-04	18|16|10752	false
207703	"Kingsman: The Secret Service"	en	2015-01-13	80|35|28|12	false
176241	"Prison Break: The Final Break"	en	2009-05-26	28|18|53	false
7508	"Taare Zameen Par"	hi	2007-12-21	18	false
120	"The Lord of the Rings: The Fellowship of the Ring"	en	2001-12-20	12|14|28	false
149	"Akira"	ja	1988-07-16	878|16	false
14645	"Le Père Noël est une ordure"	fr	1982-08-25	35	false
1124	"The Prestige"	en	2006-10-19	18|9648|53	false
935	"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"	en	1964-01-29	18|35|10752	false
121	"The Lord of the Rings: The Two Towers"	en	2002-12-18	12|14|28	false
122906	"About Time"	en	2013-11-08	35|18|878	false
5915	"Into the Wild"	en	2007-09-20	12|18	false
31011	"Mr. Nobody"	en	2009-09-11	878|18|10749|14	false
1023	"Adams æbler"	da	2005-04-15	35|80|18	false
105	"Back to the Future"	en	1985-07-03	12|35|878|10751	false
1075	"Crna mačka, beli mačor"	sh	1998-06-01	35|10749	false
127585	"X-Men: Days of Future Past"	en	2014-05-23	28|12|14|878	false
1398	"Сталкер"	ru	1979-04-16	18|878|53	false
603	"The Matrix"	en	1999-03-30	12|28|53|878	false
38	"Eternal Sunshine of the Spotless Mind"	en	2004-03-19	878|18|10749	false
137182	"The Broken Circle Breakdown"	nl	2012-10-09	18	false
387	"Das Boot"	de	1981-09-16	28|18|36|10752|12	false
290542	"You're Not You"	en	2014-09-27	18	false
286217	"The Martian"	en	2015-10-02	18|12|878	false
194	"Le fabuleux destin d'Amélie Poulain"	fr	2001-04-25	35|10749	false
963	"The Maltese Falcon"	en	1941-11-18	80|18|53	false
85350	"Boyhood"	en	2014-07-11	18	false
1092	"The Third Man"	en	1949-08-31	53|9648	false
111	"Scarface"	en	1983-12-08	28|12|80|18|53	false
61979	"Tres metros sobre el cielo"	es	2010-12-03	10749|18	false
274	"The Silence of the Lambs"	en	1991-02-14	80|18|53	false
242582	"Nightcrawler"	en	2014-10-31	80|18|53	false
303	"Notorious"	en	1946-08-15	53|18|10749	false
137106	"The Lego Movie"	en	2014-02-07	12|14|16|35|28|10751	false
57158	"The Hobbit: The Desolation of Smaug"	en	2013-12-13	12|14	false
311	"Once Upon a Time in America"	en	1984-02-17	18|80	false
9421	"Le dîner de cons"	fr	1998-04-15	35	false
228203	"McFarland, USA"	en	2015-02-20	18	false
16869	"Inglourious Basterds"	en	2009-08-21	18|28|53|10752	false
1422	"The Departed"	en	2006-11-09	18|53|80	false
54186	"告白"	ja	2010-06-05	18|53|9648	false
271110	"Captain America: Civil War"	en	2016-05-06	28|878|53	false
804	"Roman Holiday"	en	1953-09-02	35|10749	false
147	"Les quatre cents coups"	fr	1959-05-04	18	false
234200	"Pride"	en	2014-09-12	18|35	false
239	"Some Like It Hot"	en	1959-03-29	35	false
40619	"Day & Night"	en	2010-06-17	16|12|35|10751|14	false
109445	"Frozen"	en	2013-11-27	16|12|10751	false
1480	"Touch of Evil"	en	1958-04-23	18|53|80	false
103	"Taxi Driver"	en	1976-02-08	80|18	false
3112	"The Night of the Hunter"	en	1955-07-26	53|80	false
198375	"Kotonoha no Niwa"	ja	2013-05-31	16|18|10749	false
78	"Blade Runner"	en	1982-06-25	878|18|53	false
264660	"Ex Machina"	en	2015-01-21	18|878	false
180299	"The Raid 2: Berandal"	id	2014-03-28	28|80|53	false
152742	"La migliore offerta"	en	2013-01-01	18|10749|80|9648	false
309	"Festen"	da	1998-06-19	18	false
10775	"Mou gaan dou"	cn	2002-12-12	18|28|53|80|9648	false
5156	"Ladri di biciclette"	it	1948-11-24	18	false
308369	"Me and Earl and the Dying Girl"	en	2015-06-12	35|18	false
10515	"天空の城ラピュタ"	ja	1986-08-02	12|14|16|28|10751|10749	false
233063	"Fack ju Göhte"	de	2013-11-07	35	false
59440	"Warrior"	en	2011-09-09	28|18	false
33701	"Les Bronzés font du ski"	fr	1979-11-22	35	false
38234	"Undisputed III: Redemption"	en	2010-05-22	28|53	false
857	"Saving Private Ryan"	en	1998-07-24	18|36|10752	false
110	"Trois couleurs : Rouge"	fr	1994-09-14	18|9648|10749	false
28178	"Hachi: A Dog's Tale"	en	2009-06-13	18|10751	false
49047	"Gravity"	en	2013-10-04	878|53|18	false
8587	"The Lion King"	en	1994-06-23	16|10751	false
641	"Requiem for a Dream"	en	2000-10-27	18	false
489	"Good Will Hunting"	en	1997-12-05	18	false
551	"The Poseidon Adventure"	en	1972-12-12	28|12	false
71157	"Polisse"	en	2011-10-19	18	false
123025	"Batman: The Dark Knight Returns, Part 1"	en	2012-09-25	28|16	false
149870	"Kaze Tachinu"	ja	2013-07-20	16|18|36	false
101299	"The Hunger Games: Catching Fire"	en	2013-11-15	878|53|28|12	false
28	"Apocalypse Now"	en	1979-08-15	10752	false
60243	"جدایی نادر از سیمین"	fa	2011-03-15	18	false
422	"8½"	it	1963-02-15	14|18	false
200727	"Love, Rosie"	en	2014-10-16	10749|35	false
84892	"The Perks of Being a Wallflower"	en	2012-09-21	18|10749	false
99861	"Avengers: Age of Ultron"	en	2015-05-01	28	false
426	"Vertigo"	en	1958-05-28	80|18|9648|10749|53	false
98	"Gladiator"	en	2000-05-01	28|18|12	false
475	"Bonnie and Clyde"	en	1967-08-04	80|18	false
6037	"Murder by Death"	en	1976-06-23	35|80|9648|53	false
289	"Casablanca"	en	1942-11-26	18|10749	false
76341	"Mad Max: Fury Road"	en	2015-05-15	53|28|12	false
15	"Citizen Kane"	en	1941-05-01	18	false
49020	"Submarine"	en	2010-09-12	18|35|10749	false
175	"Le Grand Bleu"	fr	1988-05-11	12|18|10749	false
40662	"Batman: Under the Red Hood"	en	2010-07-27	12|16|28|878|9648	false
892	"Delicatessen"	fr	1991-04-17	35|878|14	false
68718	"Django Unchained"	en	2012-12-25	18|37	false
762	"Monty Python and the Holy Grail"	en	1975-03-13	12|35|14	false
26280	"J'ai tué ma mère"	fr	2009-05-05	18	false
600	"Full Metal Jacket"	en	1987-05-31	18|10752	false
4960	"Synecdoche, New York"	en	2008-10-24	18	false
12445	"Harry Potter and the Deathly Hallows: Part 2"	en	2011-07-07	12|14|10751	false
168259	"Furious 7"	en	2015-04-03	28|12|80|10749|53	false
829	"Chinatown"	en	1974-06-20	18|53|80|9648	false
13223	"Gran Torino"	en	2008-12-11	18	false
10835	"Dip huet seung hung"	en	1989-07-06	28|80|18|53	false
24238	"Mary and Max"	en	2009-04-09	16|35|18	false
11545	"Rushmore"	en	1998-10-09	35|18	false
14	"American Beauty"	en	1999-09-14	18	false
115	"The Big Lebowski"	en	1998-03-06	35|80	false
107	"Snatch"	en	2000-09-01	53|80	false
190859	"American Sniper"	en	2014-12-25	10752|28	false
20126	"Profondo rosso"	it	1975-03-07	27|9648|53	false
211954	"No se Aceptan Devoluciones"	es	2013-07-20	35|18	false
797	"Persona"	en	1966-10-18	18	false
490	"Det sjunde inseglet"	en	1957-02-16	14|18	false
83389	"Kokuriko-zaka kara"	ja	2011-07-16	16|18	false
239877	"La mafia uccide solo d'estate"	it	2013-11-28	10749|35|80	false
11621	"Kurenai no buta"	ja	1992-07-18	14|16|12	false
